Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
90	:	1757866841.991	     7.758	0	0	0	0	run_single_attr_job 90 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftCylinder density 6 2000.00 3296
89	:	1757866841.471	     8.403	0	0	0	0	run_single_attr_job 89 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftCylinder density 6 2000.00 2008
87	:	1757866813.302	    42.075	0	0	0	0	run_single_attr_job 87 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall density 6 2000.00 3296
97	:	1757866855.386	     7.022	0	0	0	0	run_single_attr_job 97 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftBall density 5 100.00 1409
88	:	1757866817.760	    45.812	0	0	0	0	run_single_attr_job 88 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder density 6 2000.00 1409
99	:	1757866863.583	     5.032	0	0	0	0	run_single_attr_job 99 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Jaco LiftBall density 5 100.00 3296
98	:	1757866862.417	     6.757	0	0	0	0	run_single_attr_job 98 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Jaco LiftBall density 5 100.00 2008
100	:	1757866868.625	     6.690	0	0	0	0	run_single_attr_job 100 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Jaco LiftCylinder density 5 100.00 1409
95	:	1757866849.758	    46.315	0	0	0	0	run_single_attr_job 95 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftCylinder density 6 2000.00 2008
94	:	1757866849.518	    46.648	0	0	0	0	run_single_attr_job 94 avg_nodes avg_nodes_seed1 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_1409-run:v19 Kinova3 LiftCylinder density 6 2000.00 1409
93	:	1757866849.269	    47.172	0	0	0	0	run_single_attr_job 93 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall density 6 2000.00 3296
96	:	1757866849.885	    48.186	0	0	0	0	run_single_attr_job 96 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftCylinder density 6 2000.00 3296
105	:	1757866896.452	     8.955	0	0	0	0	run_single_attr_job 105 avg_nodes avg_nodes_seed2 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_3296-run:v18 Kinova3 LiftBall density 5 100.00 3296
104	:	1757866896.176	    10.188	0	0	0	0	run_single_attr_job 104 avg_nodes avg_nodes_seed3 test_artifacts/Robosuite-v0-MR-ST-MR-MT_avg_nodes_2008-run:v18 Kinova3 LiftBall density 5 100.00 2008
